RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),MARKET VALUE,EMPLOYEES,CHANGE IN RANK,CEO GENDER,Sector,City,STATE,YEAR
863,Curtiss-Wright,"2,391.30",-3.9,201.40,-34.5,"4,021.30","4,853.00",8200,12,female,Industrials,Davidson,North Carolina,2021
864,Match Group,"2,391.30",-49.7,128.60,-70.2,"2,977.00","36,951.30",1890,-296,female,Technology,Dallas,Texas,2021
865,Fleetcor Technologies,"2,388.90",-9.8,704.20,-21.3,"11,194.60","22,408.10",8400,-16,male,Business Services,Peachtree Corners,Georgia,2021
866,Matson,"2,383.30",8.2,193.10,133.5,"2,900.60","2,897.10",4149,81,male,Transportation,Honolulu,Hawaii,2021
867,Gray Television,"2,381.00",12.2,410.00,129.1,"7,643.00","1,748.10",7140,95,male,Media,Atlanta,Georgia,2021
868,Coherent,"2,380.10",74.7,-67.00,-162.3,"5,234.70","7,167.10",22969,-,male,Technology,Santa Clara,California,2021
869,Ashland,"2,377.00",-32.2,-508.00,-200.6,"6,877.00","5,385.40",4500,-175,male,Chemicals,Covington,Kentucky,2021
870,Cooper-Standard Holdings,"2,375.40",-23.6,-267.60,-496.3,"2,611.90",613.70,26550,-111,male,Motor Vehicles & Parts,Novi,Michigan,2021
871,Werner Enterprises,"2,372.20",-3.7,169.10,1.3,"2,156.70","3,208.00",12292,9,male,Transportation,Omaha,Nebraska,2021
872,Playtika Holding,"2,371.50",25.6,92.10,-68.1,"1,776.20","11,145.30",3800,-,male,Media,Santa Monica,California,2021
873,LGI Homes,"2,367.90",28.8,323.90,81.3,"1,826.10","3,712.40",938,-,male,Engineering & Construction,The Woodlands,Texas,2021
874,Waters,"2,365.40",-1.7,521.60,-11.9,"2,839.90","17,671.30",7412,15,male,Technology,Milford,Massachusetts,2021
875,Lyft,"2,364.70",-34.6,"-1,752.90",-,"4,679.00","20,781.80",4675,-195,male,Technology,San Francisco,California,2021
876,Healthpeak Properties,"2,364.00",18.4,413.60,808.3,"15,920.10","17,103.80",217,122,male,Financials,Irvine,California,2021
877,Winnebago Industries,"2,355.50",18.6,61.40,-45,"1,713.70","2,577.50",5505,-,male,Motor Vehicles & Parts,Forest City,Iowa,2021
878,Knights of Columbus,"2,353.30",-1.4,95.00,-35.9,"27,658.10",-,750,17,male,Financials,New Haven,Connecticut,2021
879,SLM,"2,353.10",-1.1,880.70,52.3,"30,770.40","6,535.20",1600,19,male,Financials,Newark,Delaware,2021
880,Valvoline,"2,353.00",-1.5,317.00,52.4,"3,051.00","4,729.70",8800,14,male,Chemicals,Lexington,Kentucky,2021
881,IDEX,"2,351.60",-5.7,377.80,-11.2,"4,414.40","15,891.60",7075,-8,male,Industrials,Lake Forest,Illinois,2021
882,F5,"2,350.80",4.8,307.40,-28.1,"4,677.90","12,861.60",6109,50,male,Technology,Seattle,Washington,2021
883,GEO Group,"2,350.10",-5.2,113.00,-32.2,"4,460.10",941.30,20000,-5,male,Business Services,Boca Raton,Florida,2021
884,BrightView Holdings,"2,346.00",-2.4,-41.60,-193.7,"3,071.00","1,773.80",19900,7,male,Business Services,Plymouth Meeting,Pennsylvania,2021
885,Hovnanian Enterprises,"2,343.90",16.2,50.90,-,"1,827.30",650.50,1697,106,male,Engineering & Construction,Matawan,New Jersey,2021
886,Sprague Resources,"2,336.00",-33.3,33.80,8.2,"1,199.40",502.30,765,-190,male,Energy,Portsmouth,New Hampshire,2021
887,Summit Materials,"2,332.50",5,138.00,133.6,"4,308.00","3,216.60",6000,51,female,Materials,Denver,Colorado,2021
888,MKS Instruments,"2,330.00",22.6,350.10,149.4,"3,903.80","10,245.40",5600,-,male,Technology,Andover,Massachusetts,2021
889,Arista Networks,"2,317.50",-3.9,634.60,-26.2,"4,738.90","23,043.70",2613,-3,female,Technology,Santa Clara,California,2021
890,Alexandria Real Estate Equities,"2,315.10",33.4,771.00,112.3,"22,827.90","22,458.60",470,-,male,Financials,Pasadena,California,2021
891,Synovus Financial,"2,311.00",-4,373.70,-33.7,"54,394.20","6,800.50",5134,-1,male,Financials,Columbus,Georgia,2021
892,Viasat,"2,309.20",11.7,-0.20,-,"4,883.90","3,294.20",6100,80,male,Technology,Carlsbad,California,2021
893,Southwestern Energy,"2,308.00",-24,"-3,112.00",-449.3,"5,160.00","3,136.20",900,-117,male,Energy,Spring,Texas,2021
894,People's United Financial,"2,307.70",-0.2,219.60,-57.8,"63,091.80","7,632.10",5814,22,male,Financials,Bridgeport,Connecticut,2021
895,Hilltop Holdings,"2,306.90",26.7,447.80,98.8,"16,944.30","2,805.10",4925,-,male,Financials,Dallas,Texas,2021
896,AvalonBay Communities,"2,301.30",-1,827.60,5.3,"19,199.10","25,744.20",3028,16,male,Financials,Arlington,Virginia,2021
897,Federated Mutual Insurance,"2,290.20",7.3,198.20,-13.7,"9,574.50",-,2689,62,male,Financials,Owatonna,Minnesota,2021
898,Stewart Information Services,"2,288.40",18,154.90,97,"1,978.60","1,392.00",5800,-,male,Financials,Houston,Texas,2021
899,Evercore,"2,285.30",12.6,350.60,17.9,"3,370.90","5,536.10",1791,89,male,Financials,New York,New York,2021
900,Envista Holdings,"2,282.00",-,33.30,-,"6,876.00","6,531.40",12400,-,male,Health Care,Brea,California,2021
901,TCF Financial,"2,281.70",11.2,222.80,-24.6,"47,802.50","7,090.00",6833,78,male,Financials,Detroit,Michigan,2021
902,REV Group,"2,277.60",-5.2,-30.50,-,"1,312.30","1,236.20",7060,-10,male,Motor Vehicles & Parts,Milwaukee,Wisconsin,2021
903,Calumet Specialty Products Partners,"2,268.20",-34.3,-149.00,-,"1,808.30",479.70,1400,-198,male,Energy,Indianapolis,Indiana,2021
904,Crestwood Equity Partners,"2,254.30",-29.2,-56.10,-119.7,"5,243.70","2,074.60",731,-156,male,Energy,Houston,Texas,2021
905,TTM Technologies,"2,249.30",-16.4,177.50,329.9,"2,895.90","1,550.10",16700,-64,male,Technology,Santa Ana,California,2021
906,MYR Group,"2,247.40",8.5,58.80,55.9,995.90,"1,203.20",7200,65,male,Engineering & Construction,Rolling Meadows,Illinois,2021
907,Designer Brands,"2,234.70",-36,-488.70,-617.2,"1,976.60","1,259.80",11400,-209,male,Retailing,Columbus,Ohio,2021
908,Splunk,"2,229.40",-5.5,-908.00,-,"5,868.50","22,196.90",6500,-5,male,Technology,San Francisco,California,2021
909,Primerica,"2,217.50",8,386.20,5.4,"14,905.30","5,826.20",2528,71,male,Financials,Duluth,Georgia,2021
910,Copart,"2,205.60",8,699.90,18.3,"3,455.30","25,666.40",7600,74,male,Retailing,Dallas,Texas,2021
911,CDK Global,"2,195.10",-5.9,207.50,67.3,"2,854.10","6,582.10",9000,-,male,Technology,Hoffman Estates,Illinois,2021
912,Maxim Integrated Products,"2,191.40",-5.3,654.70,-20.9,"3,629.30","24,490.90",7115,3,male,Technology,San Jose,California,2021
913,Kar Auction Services,"2,187.70",-37.6,0.50,-99.7,"6,798.20","1,945.50",9400,-220,male,Wholesalers,Carmel,Indiana,2021
914,Ohio National Mutual,"2,181.80",-6.8,-,-,"41,091.00",-,1082,-6,female,Financials,Cincinnati,Ohio,2021
915,Carpenter Technology,"2,181.10",-8.4,1.50,-99.1,"3,227.20","1,976.30",4600,-18,male,Materials,Philadelphia,Pennsylvania,2021
916,Boyd Gaming,"2,178.50",-34.5,-134.70,-185.5,"6,558.90","6,608.30",14284,-188,male,"Hotels, Restaurants & Leisure",Las Vegas,Nevada,2021
917,Unisys,"2,175.80",-26.2,750.70,-,"2,707.90","1,702.60",17200,-124,male,Technology,Blue Bell,Pennsylvania,2021
918,Seagen,"2,175.50",137.3,613.70,-,"4,000.90","25,176.10",2092,-,male,Health Care,Bothell,Washington,2021
919,Itron,"2,173.40",-13.2,-58.00,-218.3,"2,607.00","4,000.00",6451,-49,male,Industrials,Liberty Lake,Washington,2021
920,Kirby,"2,171.40",-23.5,-272.50,-291.5,"5,924.20","3,622.00",5400,-102,male,Transportation,Houston,Texas,2021
921,Rollins,"2,161.20",7.2,260.80,28.3,"1,845.90","16,939.10",15616,72,male,Business Services,Atlanta,Georgia,2021
922,Travel + Leisure,"2,160.00",-46.6,-255.00,-150.3,"7,613.00","5,255.60",15500,-282,male,"Hotels, Restaurants & Leisure",New York,New York,2021
923,Terminix Global Holdings,"2,159.00",3.9,551.00,330.5,"4,837.00","6,285.80",11400,44,male,Business Services,Memphis,Tennessee,2021
924,Franchise Group,"2,152.50",711,25.10,-,"1,837.70","1,447.80",6421,-,male,Retailing,Atlanta,Georgia,2021
925,West Pharmaceutical Services,"2,146.90",16.7,346.20,43.2,"2,793.80","20,809.50",9200,-,male,Health Care,Exton,Pennsylvania,2021
926,Portland General Electric,"2,145.00",1,155.00,-27.6,"9,069.00","4,252.20",3639,35,female,Energy,Portland,Oregon,2021
927,Flagstar Bancorp,"2,144.00",52.7,538.00,146.8,"31,038.00","2,375.80",5214,-,male,Financials,Troy,Michigan,2021
928,Renewable Energy Group,"2,137.10",-19.1,122.80,-67.7,"1,461.40","2,977.40",895,-77,female,Energy,Ames,Iowa,2021
929,Deckers Outdoor,"2,132.70",5.6,276.10,4.5,"1,765.10","9,307.90",3600,60,male,Apparel,Goleta,California,2021
930,SkyWest,"2,127.10",-28.4,-8.50,-102.5,"6,887.60","2,740.60",12502,-142,male,Transportation,St. George,Utah,2021
931,Beazer Homes USA,"2,127.10",1.9,52.20,-,"2,007.50",653.60,1063,34,male,Engineering & Construction,Atlanta,Georgia,2021
932,BWX Technologies,"2,123.50",12.1,278.70,14.2,"2,293.50","6,273.60",6700,-,male,Aerospace & Defense,Charlotte,North Carolina,2021
933,OGE Energy,"2,122.30",-4.9,-173.70,-140.1,"10,718.80","6,472.70",2360,1,male,Energy,Oklahoma City,Oklahoma,2021
934,Nordson,"2,121.10",-3.3,249.50,-26,"3,674.70","11,540.50",7555,15,male,Industrials,Westlake,Ohio,2021
935,Caleres,"2,117.10",-27.5,-439.10,-799,"1,867.10",827.30,6650,-138,female,Retailing,St. Louis,Missouri,2021
936,BOK Financial,"2,112.90",-5.1,435.00,-13.1,"46,671.10","6,212.10",4915,-,male,Financials,Tulsa,Oklahoma,2021
937,AAR,"2,112.40",-1.6,4.40,-41.3,"2,079.00","1,471.10",5400,19,male,Aerospace & Defense,Wood Dale,Illinois,2021
938,Apollo Global Management,"2,110.90",-32.9,156.60,-81.4,"23,669.10","10,904.70",1729,-184,male,Financials,New York,New York,2021
939,Amedisys,"2,105.90",7.7,183.60,44.8,"1,567.20","8,698.00",21000,-,male,Health Care,Baton Rouge,Louisiana,2021
940,Wynn Resorts,"2,095.90",-68.3,"-2,067.20",-1780.9,"13,869.50","14,497.80",27500,-486,male,"Hotels, Restaurants & Leisure",Las Vegas,Nevada,2021
941,Hain Celestial Group,"2,084.30",-23.1,-80.40,-,"2,188.50","4,356.00",4287,-105,female,"Food, Beverages & Tobacco",Lake Success,New York,2021
942,SBA Communications,"2,083.10",3.4,24.10,-83.6,"9,158.00","30,343.00",1483,52,male,Financials,Boca Raton,Florida,2021
943,Allison Transmission Holdings,"2,081.00",-22.9,299.00,-50.5,"4,477.00","4,536.90",3300,-104,male,Motor Vehicles & Parts,Indianapolis,Indiana,2021
944,Chemed,"2,079.60",7.3,319.50,45.3,"1,434.90","7,372.20",15544,-,male,Health Care,Cincinnati,Ohio,2021
945,Aerojet Rocketdyne Holdings,"2,072.70",4.6,137.70,-2.3,"2,899.90","3,758.60",4969,-,female,Aerospace & Defense,El Segundo,California,2021
946,Hyatt Hotels,"2,066.00",-58.8,-703.00,-191.8,"9,129.00","8,377.50",37000,-400,male,"Hotels, Restaurants & Leisure",Chicago,Illinois,2021
947,LHC Group,"2,063.20",-0.8,111.60,16.6,"2,483.40","6,041.20",21150,19,male,Health Care,Lafayette,Louisiana,2021
948,BGC Partners,"2,056.70",-2.3,48.90,2.8,"3,949.30","1,785.20",4950,15,male,Financials,New York,New York,2021
949,G-III Apparel Group,"2,055.10",-35,23.50,-83.6,"2,436.40","1,458.10",3050,-197,male,Apparel,New York City,New York,2021
950,Benchmark Electronics,"2,053.10",-9.5,14.10,-40,"1,744.20","1,123.20",11234,-20,male,Technology,Tempe,Arizona,2021
951,Affiliated Managers Group,"2,027.50",-9.5,202.20,1187.9,"7,888.90","6,352.00",3900,-18,male,Financials,West Palm Beach,Florida,2021
952,CoreLogic,"2,016.70",14.4,301.40,510.3,"4,283.20","5,830.50",5300,-,male,Business Services,Irvine,California,2021
953,Air Lease,"2,015.40",-0.1,516.30,-12.1,"25,215.20","5,590.50",120,39,male,Business Services,Los Angeles,California,2021
954,NewMarket,"2,010.90",-8.2,270.60,6.4,"1,933.90","4,154.40",2105,-4,male,Chemicals,Richmond,Virginia,2021
955,Trinity Industries,"1,999.40",-33.5,-147.30,-207,"8,701.80","3,161.60",6375,-174,female,Transportation,Dallas,Texas,2021
956,Amneal Pharmaceuticals,"1,992.50",22.5,91.10,-,"4,006.00","2,022.70",6000,-,male,Health Care,Bridgewater,New Jersey,2021
957,Americold Realty Trust,"1,987.70",11.4,24.50,-49,"7,831.20","9,708.50",16300,-,male,Financials,Atlanta,Georgia,2021
958,Bruker,"1,987.50",-4.1,157.80,-20,"3,049.00","9,742.60",7400,10,male,Technology,Billerica,Massachusetts,2021
959,Cheesecake Factory,"1,983.20",-20.1,-253.40,-299,"2,747.10","2,715.40",42500,-83,male,"Hotels, Restaurants & Leisure",Calabasas Hills,California,2021
960,Zurn Water Solutions,"1,980.10",-3.8,146.70,-26.2,"3,041.10","5,632.60",6570,-8,male,Industrials,Erie,Pennsylvania,2021
961,Korn Ferry,"1,977.30",0.2,104.90,2.2,"2,743.80","3,368.40",8198,-,male,Business Services,Los Angeles,California,2021
962,Modine Manufacturing,"1,975.50",-10.7,-2.20,-102.6,"1,536.10",759.50,11300,-19,male,Motor Vehicles & Parts,Racine,Wisconsin,2021
963,Zynga,"1,974.80",49.4,-429.40,-1124.2,"6,206.50","11,057.40",2245,-,male,Media,San Francisco,California,2021
964,Belden,"1,971.90",-20.9,-55.20,-,"3,139.70","1,981.40",6300,-90,male,Industrials,St. Louis,Missouri,2021
965,Murphy Oil,"1,971.40",-53,"-1,148.80",-199.9,"10,620.90","2,532.30",675,-340,male,Energy,El Dorado,Arkansas,2021
966,Range Resources,"1,968.70",-30.4,-711.80,-,"6,136.90","2,671.00",533,-145,male,Energy,Fort Worth,Texas,2021
967,B&G Foods,"1,967.90",18.5,132.00,72.8,"3,767.60","2,010.40",3207,-,male,"Food, Beverages & Tobacco",Parsippany-Troy Hills,New Jersey,2021
968,Vail Resorts,"1,963.70",-13.6,98.80,-67.2,"5,244.20","11,741.10",25400,-39,male,"Hotels, Restaurants & Leisure",Broomfield,Colorado,2021
969,Five Below,"1,962.10",6.2,123.40,-29.5,"2,314.80","10,677.20",12050,-,male,Retailing,Philadelphia,Pennsylvania,2021
970,First Citizens BancShares,"1,960.80",7.7,491.70,7.5,"49,957.70","8,148.20",6587,-,male,Financials,Raleigh,North Carolina,2021
971,HNI,"1,955.40",-13,41.90,-62.1,"1,418.00","1,698.50",7600,-40,male,Household Products,Muscatine,Iowa,2021
972,New Jersey Resources,"1,953.70",-24.6,193.90,14.4,"5,569.80","3,837.50",1156,-112,male,Energy,Wall,New Jersey,2021
973,Edgewell Personal Care,"1,949.70",-8.9,67.60,-,"3,540.90","2,149.40",5800,-15,male,Household Products,Shelton,Connecticut,2021
974,TTEC Holdings,"1,949.20",18.6,118.60,53.8,"1,516.40","4,695.00",61000,-,male,Technology,Englewood,Colorado,2021
975,Arcosa,"1,935.60",11.4,106.60,-5.9,"2,646.70","3,135.70",6410,-,male,Engineering & Construction,Dallas,Texas,2021
976,DexCom,"1,926.70",30.5,493.60,388.2,"4,290.50","34,755.10",5950,-,male,Health Care,San Diego,California,2021
977,Green Plains,"1,923.70",-37,-108.80,-,"1,578.90","1,208.80",839,-204,male,Energy,Omaha,Nebraska,2021
978,Teledyne FLIR,"1,923.70",1.9,212.60,23.9,"3,252.30","7,411.00",4179,-,male,Technology,Arlington,Virginia,2021
979,E.W. Scripps,"1,915.10",34.5,269.30,-,"4,859.40","1,585.50",5400,-,male,Media,Cincinnati,Ohio,2021
980,Dropbox,"1,913.90",15.2,-256.30,-,"2,387.20","11,056.40",2760,-,male,Technology,San Francisco,California,2021
981,Universal,"1,910.00",-14.2,71.70,-31.2,"2,120.90","1,446.10",24000,-46,male,"Food, Beverages & Tobacco",Philadelphia,Pennsylvania,2021
982,CoreCivic,"1,905.50",-3.8,54.20,-71.3,"3,709.30","1,088.40",12415,-,male,Business Services,Brentwood,Tennessee,2021
983,Newmark Group,"1,905.00",-14.1,80.10,-31.8,"3,982.50","1,834.60",5742,-42,male,Financials,New York City,New York,2021
984,Revlon,"1,904.30",-21.3,-619.00,-,"2,527.70",657.70,6000,-99,female,Household Products,New York City,New York,2021
985,Covanta Holding,"1,904.00",1.8,-28.00,-380,"3,706.00","1,829.30",4000,-,male,Business Services,Morristown,New Jersey,2021
986,ChampionX,"1,900.00",68,-743.90,-1526.1,"3,475.80","4,368.10",6600,-,male,Energy,The Woodlands,Texas,2021
987,EchoStar,"1,887.90",-10,-40.20,-,"7,073.40","2,230.70",2400,-23,male,Technology,Englewood,Colorado,2021
988,Kennametal,"1,885.30",-20.6,-5.70,-102.3,"3,037.60","3,338.80",8989,-89,male,Industrials,Pittsburgh,Pennsylvania,2021
989,Valhi,"1,878.10",-3.1,55.20,12.2,"2,889.30",579.90,2784,-,male,Chemicals,Dallas,Texas,2021
990,Guess,"1,876.50",-29.9,-81.20,-184.6,"2,465.90","1,495.20",11000,-147,male,Retailing,Los Angeles,California,2021
991,Harsco,"1,874.10",3.5,-26.30,-105.2,"2,993.30","1,354.70",11900,-,male,Business Services,Camp Hill,Pennsylvania,2021
992,Stepan,"1,869.80",0.6,126.80,22.9,"1,752.30","2,858.90",2293,-,male,Chemicals,Northfield,Illinois,2021
993,Clearwater Paper,"1,868.60",6.1,77.10,-,"1,800.40",624.70,3340,-,male,Materials,Spokane,Washington,2021
994,Live Nation Entertainment,"1,861.20",-83.9,"-1,724.50",-2567.5,"10,589.30","18,457.70",8200,-719,male,Media,Beverly Hills,California,2021
995,BioMarin Pharmaceutical,"1,860.50",9.2,859.10,-,"5,848.00","13,730.00",3059,-,male,Health Care,San Rafael,California,2021
996,Surgery Partners,"1,860.10",1.6,-116.10,-,"5,413.20","2,649.40",9950,-,male,Health Care,Brentwood,Tennessee,2021
997,Entegris,"1,859.30",16.9,295.00,15.7,"2,917.70","15,120.70",5800,-,male,Technology,Billerica,Massachusetts,2021
998,Sleep Number,"1,856.60",9.3,139.20,70.1,800.10,"3,560.30",4625,-,female,Retailing,Minneapolis,Minnesota,2021
999,Spire,"1,855.40",-5,88.60,-52,"8,241.20","3,817.50",3583,-,female,Energy,St. Louis,Missouri,2021
1000,Clear Channel Outdoor Holdings,"1,854.60",-30.9,-582.70,-,"5,755.30",842.10,4800,-158,male,Business Services,San Antonio,Texas,2021
1,Walmart,"523,964.00",1.9,"14,881.00",123.1,"236,495.00","321,803.30",2200000,-,male,Retailing,Bentonville,Arkansas,2020
2,Amazon,"280,522.00",20.5,"11,588.00",15,"225,248.00","970,680.10",798000,3,male,Retailing,Seattle,Washington,2020
3,Exxon Mobil,"264,938.00",-8.7,"14,340.00",-31.2,"362,597.00","160,696.30",74900,-1,male,Energy,Irving,Texas,2020
4,Apple,"260,174.00",-2,"55,256.00",-7.2,"338,516.00","1,112,640.80",137000,-1,male,Technology,Cupertino,California,2020
5,CVS Health,"256,776.00",32,"6,634.00",-,"222,449.00","77,375.80",290000,3,female,Health Care,Woonsocket,Rhode Island,2020
6,Berkshire Hathaway,"254,616.00",2.7,"81,417.00",1924.8,"817,729.00","442,897.10",391500,-2,male,Financials,Omaha,Nebraska,2020
7,UnitedHealth Group,"242,155.00",7,"13,839.00",15.5,"173,889.00","236,555.20",325000,-1,male,Health Care,Minnetonka,Minnesota,2020
8,McKesson,"214,319.00",2.9,34.00,-49.3,"59,672.00","21,845.00",70000,-1,male,Health Care,Irving,Texas,2020
9,AT&T,"181,193.00",6.1,"13,903.00",-28.2,"551,669.00","209,387.50",247800,-,male,Telecommunications,Dallas,Texas,2020
10,AmerisourceBergen,"179,589.10",6.9,855.40,-48.4,"39,172.00","18,221.40",21500,-,male,Health Care,Chesterbrook,Pennsylvania,2020
11,Alphabet,"161,857.00",18.3,"34,343.00",11.7,"275,909.00","798,905.30",118899,4,male,Technology,Mountain View,California,2020
12,Ford Motor,"155,900.00",-2.8,47.00,-98.7,"258,537.00","19,150.60",190000,-,male,Motor Vehicles & Parts,Dearborn,Michigan,2020
13,Cigna,"153,566.00",215.7,"5,104.00",93.6,"155,774.00","65,896.70",73700,52,male,Health Care,Bloomfield,Connecticut,2020
14,Costco Wholesale,"152,703.00",7.9,"3,659.00",16.8,"45,400.00","125,907.70",201500,-,male,Retailing,Issaquah,Washington,2020
15,Chevron,"146,516.00",-11.9,"2,924.00",-80.3,"237,428.00","136,175.90",48200,-4,male,Energy,San Ramon,California,2020
16,Cardinal Health,"145,534.00",6.4,"1,363.00",432.4,"40,963.00","13,988.10",49500,-,male,Health Care,Dublin,Ohio,2020
17,JPMorgan Chase,"142,422.00",8.4,"36,431.00",12.2,"2,687,379.00","276,750.10",256981,1,male,Financials,New York City,New York,2020
18,General Motors,"137,237.00",-6.7,"6,732.00",-16,"228,037.00","29,694.70",164000,-5,female,Motor Vehicles & Parts,Detroit,Michigan,2020
19,Walgreens Boots Alliance,"136,866.00",4.1,"3,982.00",-20.7,"67,598.00","40,528.20",287000,-2,male,Food & Drug Stores,Deerfield,Illinois,2020
20,Verizon Communications,"131,868.00",0.8,"19,265.00",24.1,"291,727.00","222,220.00",135000,-1,male,Telecommunications,New York City,New York,2020
21,Microsoft,"125,843.00",14,"39,240.00",136.8,"286,556.00","1,199,549.70",144000,5,male,Technology,Redmond,Washington,2020
22,Marathon Petroleum,"124,813.00",28.5,"2,637.00",-5.1,"98,556.00","15,353.00",60910,9,male,Energy,Findlay,Ohio,2020
23,Kroger,"122,286.00",0.9,"1,659.00",-46.7,"45,256.00","24,113.70",435000,-3,male,Food & Drug Stores,Cincinnati,Ohio,2020
24,Fannie Mae,"120,304.00",0.2,"14,160.00",-11.3,"3,503,319.00","1,841.40",7500,-2,male,Financials,Washington DC,District of Columbia,2020
25,Bank of America,"113,589.00",2.7,"27,430.00",-2.5,"2,434,079.00","185,226.90",208131,-,male,Financials,Charlotte,North Carolina,2020
26,Home Depot,"110,225.00",1.9,"11,242.00",1.1,"51,236.00","200,665.00",415700,1,male,Retailing,Atlanta,Georgia,2020
27,Phillips 66,"109,559.00",-4.1,"3,076.00",-45,"58,720.00","23,490.00",14500,-4,male,Energy,Houston,Texas,2020
28,Comcast,"108,942.00",15.3,"13,057.00",11.3,"263,414.00","156,533.30",190000,4,male,Telecommunications,Philadelphia,Pennsylvania,2020
29,Elevance Health,"104,213.00",13.1,"4,807.00",28.2,"77,453.00","57,245.20",70600,4,female,Health Care,Nashville,Tennessee,2020
30,Wells Fargo,"103,915.00",2.8,"19,549.00",-12.7,"1,927,555.00","117,365.70",259800,-1,male,Financials,San Francisco,California,2020
31,Citigroup,"103,449.00",6.5,"19,401.00",7.5,"1,951,158.00","88,376.50",200000,-1,female,Financials,New York City,New York,2020
32,Valero Energy,"102,729.00",-7.8,"2,422.00",-22.4,"53,864.00","18,531.60",10222,-8,male,Energy,San Antonio,Texas,2020
33,General Electric,"95,214.00",-20.8,"-4,979.00",-,"266,048.00","69,406.10",205000,-12,male,Industrials,Boston,Massachusetts,2020
34,Dell Technologies,"92,154.00",1.7,"4,616.00",-,"118,861.00","29,246.20",165000,-,male,Technology,Round Rock,Texas,2020
35,Johnson & Johnson,"82,059.00",0.6,"15,119.00",-1.2,"157,728.00","345,704.90",132200,2,male,Health Care,New Brunswick,New Jersey,2020
36,State Farm Insurance,"79,395.30",-2.9,"5,592.70",-36.4,"294,823.20",-,57672,-,male,Financials,Bloomington,Illinois,2020
37,Target,"78,112.00",3.7,"3,281.00",11.7,"42,779.00","46,574.40",368000,2,male,Retailing,Minneapolis,Minnesota,2020
38,IBM,"77,147.00",-3.1,"9,431.00",8.1,"152,186.00","98,551.10",383800,-,male,Technology,Armonk,New York,2020
39,Raytheon Technologies,"77,046.00",15.9,"5,537.00",5.1,"139,716.00","81,705.30",243200,7,male,Aerospace & Defense,Waltham,Massachusetts,2020
40,Boeing,"76,559.00",-24.3,-636.00,-106.1,"133,625.00","84,148.60",161100,-12,male,Aerospace & Defense,Chicago,Illinois,2020
41,Freddie Mac,"75,125.00",2.1,"7,214.00",-21.9,"2,203,623.00",908.70,6892,-1,male,Financials,McLean,Virginia,2020
42,Centene,"74,639.00",24.2,"1,321.00",46.8,"40,994.00","34,862.40",56600,9,male,Health Care,Clayton,Missouri,2020
43,UPS,"74,094.00",3.1,"4,440.00",-7.3,"57,857.00","80,196.10",377640,-2,female,Transportation,Atlanta,Georgia,2020
44,Lowe's,"72,148.00",1.2,"4,281.00",85,"39,471.00","64,963.30",260000,-2,male,Retailing,Mooresville,North Carolina,2020
45,Intel,"71,965.00",1.6,"21,048.00",-,"136,524.00","231,661.90",110800,-2,male,Technology,Santa Clara,California,2020
46,Meta Platforms,"70,697.00",26.6,"18,485.00",-16.4,"133,376.00","475,455.20",44942,11,male,Technology,Menlo Park,California,2020
47,FedEx,"69,693.00",6.5,540.00,-88.2,"54,403.00","31,679.10",389500,-,male,Transportation,Memphis,Tennessee,2020
48,MetLife,"69,620.00",2.5,"5,899.00",15.1,"740,463.00","27,996.90",49000,-4,male,Financials,New York City,New York,2020
49,Walt Disney,"69,570.00",17.1,"11,054.00",-12.3,"193,984.00","174,405.40",223000,4,male,Media,Burbank,California,2020
50,Procter & Gamble,"67,684.00",1.3,"3,897.00",-60,"115,095.00","271,639.80",97000,-5,male,Household Products,Cincinnati,Ohio,2020
51,PepsiCo,"67,161.00",3.9,"7,314.00",-41.6,"78,547.00","166,847.80",267000,-3,male,"Food, Beverages & Tobacco",Harrison,New York,2020
52,Humana,"64,888.00",14,"2,707.00",60.8,"29,074.00","41,489.50",46000,4,male,Health Care,Louisville,Kentucky,2020
53,Prudential Financial (U.S.),"64,807.00",2.9,"4,186.00",2.7,"896,552.00","20,649.70",51511,-3,male,Financials,Newark,New Jersey,2020
54,Archer Daniels Midland,"64,656.00",0.5,"1,379.00",-23.8,"43,997.00","19,602.60",38100,-5,male,"Food, Beverages & Tobacco",Chicago,Illinois,2020
55,Albertsons,"60,534.50",1,131.10,183.2,"20,776.60",-,267000,-3,male,Food & Drug Stores,Boise,Idaho,2020
56,Sysco,"60,113.90",2.4,"1,674.30",17,"17,966.50","23,203.20",69000,-2,male,Wholesalers,Houston,Texas,2020
57,Lockheed Martin,"59,812.00",11.3,"6,230.00",23.5,"47,528.00","95,539.30",110000,3,male,Aerospace & Defense,Bethesda,Maryland,2020
58,HP,"58,756.00",0.5,"3,152.00",-40.8,"33,467.00","24,820.70",56000,-3,male,Technology,Palo Alto,California,2020
59,Energy Transfer,"54,213.00",-0.4,"3,592.00",112,"98,880.00","12,373.50",12812,-,male,Energy,Dallas,Texas,2020
60,Goldman Sachs Group,"53,922.00",2.7,"8,466.00",-19.1,"992,968.00","55,416.70",38300,2,male,Financials,New York City,New York,2020
61,Morgan Stanley,"53,823.00",7.2,"9,042.00",3.4,"895,429.00","52,101.50",60431,2,male,Financials,New York City,New York,2020
62,Caterpillar,"53,800.00",-1.7,"6,093.00",-0.9,"78,453.00","63,831.60",102300,-4,male,Industrials,Deerfield,Illinois,2020
